Country,ISO3,P1: State Legitimacy,Human,avg_gdp_pcap,gdp_pcap_growth_volatility,unemployment,inflation,Exposure to Natural Hazard,Aid Dependency,Flood,Tsunami,Tropical Cyclone,Drought,Communication,Quality of Infrastructure,gp_risk,ec_risk,nd_risk,sc_risk,overall_weights,gp_rating,ec_rating,nd_rating,sc_rating,ov_rating
SINGAPORE,SGP,39.21202731235,1.0,50.742833020045275,12.467257006959642,7.179835045267173,14.141283585519831,100.0,0.0,1.0,0.0,0.0,0.0,13.0,4.799999999999997,18.064333525782654,23.297974958585314,24.710788615868434,8.118884902465066,20.67573640312613,3,1,3,1,2.0
SLOVAKIA,SVK,43.0,1.0,82.86250237298178,9.001756625458782,37.35542364065341,12.798941639891586,55.0,0.0,67.0,0.0,0.0,20.0,17.0,49.9,19.755927347807475,47.19852268447338,25.202473709470745,36.58398618401211,21.895884159017726,3,7,4,4,4.5
SLOVENIA,SVN,24.000000000000004,0.0,77.9350436512596,24.068864455718664,29.488635771998396,15.200501653502542,87.5,0.0,40.0,57.0,0.0,15.0,18.0,42.6,10.717672770175701,45.080609165432556,61.512897387227234,32.643345292604806,30.675198085909763,2,6,7,4,4.75
SOUTH AFRICA,ZAF,68.0,53.0,93.30198244116346,6.1464070839852605,99.55854925740903,25.77734429393136,4.799999999999997,5.0,50.0,49.0,4.0,86.0,27.0,53.8,59.69854548135981,78.11431661351499,38.32980796508655,42.952912757797094,51.302734198676,8,10,5,6,7.25
SOUTH KOREA,KOR,39.0,22.0,77.02258575322418,0.9108740328678504,13.41654033618465,16.05799758499737,100.0,0.0,47.0,76.0,85.0,3.0,14.0,20.599999999999994,29.591684878874453,32.77465982193855,76.82116219866577,17.928702395576895,48.14822235586802,4,2,9,1,4.0
SPAIN,ESP,68.0,20.0,71.68744062603687,21.137137810228772,74.08260059526955,13.248354068521841,21.900000000000006,0.0,54.0,70.0,0.0,45.0,18.0,23.5,41.4353455403514,62.3251646825021,55.40230497515084,21.273918662980748,46.92298632952645,6,10,7,2,6.25
SRI LANKA,LKA,66.0,10.0,96.9825375398358,8.339858853332567,15.953156121281776,22.546891446302237,100.0,3.0,61.0,85.0,36.0,36.0,33.0,57.2,35.007903130409964,42.331318113029084,84.486622953126,47.4052421171153,54.44817159849115,5,5,10,6,6.5
SWEDEN,SWE,8.0,1.0,48.76872743548069,12.004091107459526,26.392393546263477,16.283068001892715,12.099999999999994,0.0,32.0,0.0,0.0,15.0,16.0,21.099999999999994,4.1259878913012455,31.140170562034545,8.560574011343547,19.035815487491238,5.86834389863815,1,2,1,2,1.5
SWITZERLAND,CHE,7.0,1.0,28.757512394200198,4.572528609507462,17.837891532686285,11.668443799236831,61.8,0.0,43.0,0.0,0.0,5.0,15.0,0.0,3.679418192543925,18.86567055364007,22.677140758738133,6.071130919143415,11.143653894118842,1,1,3,1,1.5
TAJIKISTAN,TJK,90.9053828415696,50.0,99.51235068999654,6.039097978872341,38.86885327702427,21.304524413897134,100.0,17.0,54.0,0.0,0.0,76.0,32.0,51.3,68.26710449311261,53.00891679970475,33.97206203120906,43.48847821736881,54.79252724106415,8,9,5,6,7.0
TANZANIA,TZA,58.1159583353203,47.0,99.6014531408684,0.3689376086147603,7.736411428087694,26.403595901232446,27.099999999999994,22.0,58.0,59.0,8.0,51.0,66.0,63.4,51.96405016520292,37.902945748738915,50.99825980520123,64.4523293593182,51.584589581954404,7,3,6,9,6.25
THAILAND,THA,75.72674992442721,41.0,94.95928769719151,11.740070814357479,2.8476886328945152,16.36804591456169,47.4,1.0,88.0,72.0,49.0,56.0,22.0,52.2,56.50791425257227,36.456321510022654,68.75998841381002,39.97678974945793,61.3217738641128,8,3,8,5,6.0
TRINIDAD AND TOBAGO,TTO,42.0,2.0,85.1239038963161,32.008552435823795,15.444613013846752,11.21415538375148,100.0,0.0,3.0,0.0,24.0,23.0,13.0,48.0,19.862787950292834,42.89940472988978,25.060270631541666,33.83402785533204,21.904887241537864,3,5,4,4,4.0
TUNISIA,TUN,66.0,32.0,96.38806292848133,8.715935512713505,57.707820141072986,22.625788938579525,75.5,9.0,38.0,75.0,0.0,53.0,32.0,61.3,47.183369757748906,60.93507194428089,68.65726294808537,49.44105760460653,55.62049687362435,6,10,8,7,7.75
